اسم الموقع,المنطقة,النوع,الوصف,المصدر
موقع الشويمس,حائل,موقع رسومات صخرية,يضم أحد أقدم أشكال الفنون الصخرية في شبه الجزيرة العربية.,هيئة التراث
قرية ذي عين,الباحة,قرية تراثية,قرية حجرية تاريخية تشتهر بعيونها المائية وطبيعتها الساحرة.,Visit Saudi
العلا القديمة,العلا,مدينة تراثية,مركز تاريخي يعكس العمارة الإسلامية المبكرة وممر القوافل القديمة.,هيئة التراث
قصر إبراهيم,الأحساء,قصر تاريخي,حصن عثماني يضم مسجد وسكن للحامية ويُعد من أبرز معالم الأحساء.,Visit Saudi
عين زبيدة,مكة المكرمة,منشأة مائية تاريخية,مشروع مائي ضخم نفذته زبيدة زوجة هارون الرشيد لخدمة الحجاج.,دارة الملك عبدالعزيز
قصر شبرا - فرع 10,الطائف,قصر تاريخي,قصر عثماني جميل بطراز معماري فريد، كان مقراً للحكم في الحجاز. الموقع يعكس التراث المحلي ويُعد من المعالم البارزة.,هيئة التراث
بلدة أشيقر التراثية - فرع 11,شقراء,بلدة تراثية,بلدة تاريخية تعكس تراث نجد، ببيوتها الطينية وأسواقها القديمة. الموقع يعكس التراث المحلي ويُعد من المعالم البارزة.,Visit Saudi
سوق المسوكف - فرع 12,عنيزة,سوق تاريخي,سوق تقليدي يجمع بين المقتنيات القديمة والحرف اليدوية والتراث الشعبي. الموقع يعكس التراث المحلي ويُعد من المعالم البارزة.,هيئة التراث
قرية جبة - فرع 13,حائل,موقع رسومات صخرية,موقع تراث عالمي يحتوي على رسومات صخرية تعود لآلاف السنين. الموقع يعكس التراث المحلي ويُعد من المعالم البارزة.,اليونسكو
منطقة الفاو - فرع 14,وادي الدواسر,مدينة أثرية,عاصمة مملكة كندة الأولى وتعد من أهم المواقع الأثرية في الجزيرة العربية. الموقع يعكس التراث المحلي ويُعد من المعالم البارزة.,دارة الملك عبدالعزيز
موقع الشويمس - فرع 15,حائل,موقع رسومات صخرية,يضم أحد أقدم أشكال الفنون الصخرية في شبه الجزيرة العربية. الموقع يعكس التراث المحلي ويُعد من المعالم البارزة.,هيئة التراث
قرية ذي عين - فرع 16,الباحة,قرية تراثية,قرية حجرية تاريخية تشتهر بعيونها المائية وطبيعتها الساحرة. الموقع يعكس التراث المحلي ويُعد من المعالم البارزة.,Visit Saudi
العلا القديمة - فرع 17,العلا,مدينة تراثية,مركز تاريخي يعكس العمارة الإسلامية المبكرة وممر القوافل القديمة. الموقع يعكس التراث المحلي ويُعد من المعالم البارزة.,هيئة التراث
قصر إبراهيم - فرع 18,الأحساء,قصر تاريخي,حصن عثماني يضم مسجد وسكن للحامية ويُعد من أبرز معالم الأحساء. الموقع يعكس التراث المحلي ويُعد من المعالم البارزة.,Visit Saudi
عين زبيدة - فرع 19,مكة المكرمة,منشأة مائية تاريخية,مشروع مائي ضخم نفذته زبيدة زوجة هارون الرشيد لخدمة الحجاج. الموقع يعكس التراث المحلي ويُعد من المعالم البارزة.,دارة الملك عبدالعزيز
قصر شبرا - فرع 20,الطائف,قصر تاريخي,قصر عثماني جميل بطراز معماري فريد، كان مقراً للحكم في الحجاز. الموقع يعكس التراث المحلي ويُعد من المعالم البارزة.,هيئة التراث
بلدة أشيقر التراثية - فرع 21,شقراء,بلدة تراثية,بلدة تاريخية تعكس تراث نجد، ببيوتها الطينية وأسواقها القديمة. الموقع يعكس التراث المحلي ويُعد من المعالم البارزة.,Visit Saudi
سوق المسوكف - فرع 22,عنيزة,سوق تاريخي,سوق تقليدي يجمع بين المقتنيات القديمة والحرف اليدوية والتراث الشعبي. الموقع يعكس التراث المحلي ويُعد من المعالم البارزة.,هيئة التراث
قرية جبة - فرع 23,حائل,موقع رسومات صخرية,موقع تراث عالمي يحتوي على رسومات صخرية تعود لآلاف السنين. الموقع يعكس التراث المحلي ويُعد من المعالم البارزة.,اليونسكو
منطقة الفاو - فرع 24,وادي الدواسر,مدينة أثرية,عاصمة مملكة كندة الأولى وتعد من أهم المواقع الأثرية في الجزيرة العربية. الموقع يعكس التراث المحلي ويُعد من المعالم البارزة.,دارة الملك عبدالعزيز
موقع الشويمس - فرع 25,حائل,موقع رسومات صخرية,يضم أحد أقدم أشكال الفنون الصخرية في شبه الجزيرة العربية. الموقع يعكس التراث المحلي ويُعد من المعالم البارزة.,هيئة التراث
قرية ذي عين - فرع 26,الباحة,قرية تراثية,قرية حجرية تاريخية تشتهر بعيونها المائية وطبيعتها الساحرة. الموقع يعكس التراث المحلي ويُعد من المعالم البارزة.,Visit Saudi
العلا القديمة - فرع 27,العلا,مدينة تراثية,مركز تاريخي يعكس العمارة الإسلامية المبكرة وممر القوافل القديمة. الموقع يعكس التراث المحلي ويُعد من المعالم البارزة.,هيئة التراث
قصر إبراهيم - فرع 28,الأحساء,قصر تاريخي,حصن عثماني يضم مسجد وسكن للحامية ويُعد من أبرز معالم الأحساء. الموقع يعكس التراث المحلي ويُعد من المعالم البارزة.,Visit Saudi
عين زبيدة - فرع 29,مكة المكرمة,منشأة مائية تاريخية,مشروع مائي ضخم نفذته زبيدة زوجة هارون الرشيد لخدمة الحجاج. الموقع يعكس التراث المحلي ويُعد من المعالم البارزة.,دارة الملك عبدالعزيز
قصر شبرا - فرع 30,الطائف,قصر تاريخي,قصر عثماني جميل بطراز معماري فريد، كان مقراً للحكم في الحجاز. الموقع يعكس التراث المحلي ويُعد من المعالم البارزة.,هيئة التراث
بلدة أشيقر التراثية - فرع 31,شقراء,بلدة تراثية,بلدة تاريخية تعكس تراث نجد، ببيوتها الطينية وأسواقها القديمة. الموقع يعكس التراث المحلي ويُعد من المعالم البارزة.,Visit Saudi
سوق المسوكف - فرع 32,عنيزة,سوق تاريخي,سوق تقليدي يجمع بين المقتنيات القديمة والحرف اليدوية والتراث الشعبي. الموقع يعكس التراث المحلي ويُعد من المعالم البارزة.,هيئة التراث
قرية جبة - فرع 33,حائل,موقع رسومات صخرية,موقع تراث عالمي يحتوي على رسومات صخرية تعود لآلاف السنين. الموقع يعكس التراث المحلي ويُعد من المعالم البارزة.,اليونسكو
منطقة الفاو - فرع 34,وادي الدواسر,مدينة أثرية,عاصمة مملكة كندة الأولى وتعد من أهم المواقع الأثرية في الجزيرة العربية. الموقع يعكس التراث المحلي ويُعد من المعالم البارزة.,دارة الملك عبدالعزيز
موقع الشويمس - فرع 35,حائل,موقع رسومات صخرية,يضم أحد أقدم أشكال الفنون الصخرية في شبه الجزيرة العربية. الموقع يعكس التراث المحلي ويُعد من المعالم البارزة.,هيئة التراث
قرية ذي عين - فرع 36,الباحة,قرية تراثية,قرية حجرية تاريخية تشتهر بعيونها المائية وطبيعتها الساحرة. الموقع يعكس التراث المحلي ويُعد من المعالم البارزة.,Visit Saudi
العلا القديمة - فرع 37,العلا,مدينة تراثية,مركز تاريخي يعكس العمارة الإسلامية المبكرة وممر القوافل القديمة. الموقع يعكس التراث المحلي ويُعد من المعالم البارزة.,هيئة التراث
قصر إبراهيم - فرع 38,الأحساء,قصر تاريخي,حصن عثماني يضم مسجد وسكن للحامية ويُعد من أبرز معالم الأحساء. الموقع يعكس التراث المحلي ويُعد من المعالم البارزة.,Visit Saudi
عين زبيدة - فرع 39,مكة المكرمة,منشأة مائية تاريخية,مشروع مائي ضخم نفذته زبيدة زوجة هارون الرشيد لخدمة الحجاج. الموقع يعكس التراث المحلي ويُعد من المعالم البارزة.,دارة الملك عبدالعزيز
قصر شبرا - فرع 40,الطائف,قصر تاريخي,قصر عثماني جميل بطراز معماري فريد، كان مقراً للحكم في الحجاز. الموقع يعكس التراث المحلي ويُعد من المعالم البارزة.,هيئة التراث
بلدة أشيقر التراثية - فرع 41,شقراء,بلدة تراثية,بلدة تاريخية تعكس تراث نجد، ببيوتها الطينية وأسواقها القديمة. الموقع يعكس التراث المحلي ويُعد من المعالم البارزة.,Visit Saudi
سوق المسوكف - فرع 42,عنيزة,سوق تاريخي,سوق تقليدي يجمع بين المقتنيات القديمة والحرف اليدوية والتراث الشعبي. الموقع يعكس التراث المحلي ويُعد من المعالم البارزة.,هيئة التراث
قرية جبة - فرع 43,حائل,موقع رسومات صخرية,موقع تراث عالمي يحتوي على رسومات صخرية تعود لآلاف السنين. الموقع يعكس التراث المحلي ويُعد من المعالم البارزة.,اليونسكو
منطقة الفاو - فرع 44,وادي الدواسر,مدينة أثرية,عاصمة مملكة كندة الأولى وتعد من أهم المواقع الأثرية في الجزيرة العربية. الموقع يعكس التراث المحلي ويُعد من المعالم البارزة.,دارة الملك عبدالعزيز
موقع الشويمس - فرع 45,حائل,موقع رسومات صخرية,يضم أحد أقدم أشكال الفنون الصخرية في شبه الجزيرة العربية. الموقع يعكس التراث المحلي ويُعد من المعالم البارزة.,هيئة التراث
قرية ذي عين - فرع 46,الباحة,قرية تراثية,قرية حجرية تاريخية تشتهر بعيونها المائية وطبيعتها الساحرة. الموقع يعكس التراث المحلي ويُعد من المعالم البارزة.,Visit Saudi
العلا القديمة - فرع 47,العلا,مدينة تراثية,مركز تاريخي يعكس العمارة الإسلامية المبكرة وممر القوافل القديمة. الموقع يعكس التراث المحلي ويُعد من المعالم البارزة.,هيئة التراث
قصر إبراهيم - فرع 48,الأحساء,قصر تاريخي,حصن عثماني يضم مسجد وسكن للحامية ويُعد من أبرز معالم الأحساء. الموقع يعكس التراث المحلي ويُعد من المعالم البارزة.,Visit Saudi
عين زبيدة - فرع 49,مكة المكرمة,منشأة مائية تاريخية,مشروع مائي ضخم نفذته زبيدة زوجة هارون الرشيد لخدمة الحجاج. الموقع يعكس التراث المحلي ويُعد من المعالم البارزة.,دارة الملك عبدالعزيز
